                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6508,                 4.4923,                  3.986,                 1.5454,                 0.0164,                0.06231,                0.02734,                0.01387,                0.00253,                0.04167,                0.01457,                0.00405,                 1.8315,                 4.2422,                 4.2744,                 1.4546,              6.363e-05,              6.363e-05,              6.363e-05
                      2,                 1.5019,                 3.8796,                 3.8181,                 1.4229,                0.01877,                0.06483,                0.05969,                0.03631,                0.00422,                 0.0463,                0.04295,                0.00501,                 1.8702,                 4.0479,                  4.212,                 1.3391,             0.00013442,             0.00013442,             0.00013442
                      3,                 1.4759,                 3.6952,                 3.6159,                  1.356,                 0.0221,                0.07488,                0.04406,                0.02078,                0.00407,                 0.0463,                0.02229,                0.00502,                 1.8443,                 3.9986,                 4.1894,                 1.3367,             0.00020316,             0.00020316,             0.00020316
