                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6508,                 4.4923,                  3.986,                 1.5454,                 0.0164,                0.06231,                0.02734,                0.01387,                0.00253,                0.04167,                0.01457,                0.00405,                 1.8315,                 4.2422,                 4.2744,                 1.4546,              6.363e-05,              6.363e-05,              6.363e-05
                      2,                 1.5019,                 3.8796,                 3.8181,                 1.4229,                0.01877,                0.06483,                0.05969,                0.03631,                0.00422,                 0.0463,                0.04295,                0.00501,                 1.8702,                 4.0479,                  4.212,                 1.3391,             0.00013442,             0.00013442,             0.00013442
                      3,                 1.4759,                 3.6952,                 3.6159,                  1.356,                 0.0221,                0.07488,                0.04406,                0.02078,                0.00407,                 0.0463,                0.02229,                0.00502,                 1.8443,                 3.9986,                 4.1894,                 1.3367,             0.00020316,             0.00020316,             0.00020316
                      4,                 1.4726,                 3.5681,                 3.3975,                 1.3473,                0.02099,                0.07488,                0.03758,                0.02269,                0.00382,                 0.0463,                0.01941,                 0.0117,                 1.8303,                 4.0146,                 4.0601,                 1.3504,             0.00026983,             0.00026983,             0.00026983
                      5,                 1.4718,                 3.4677,                   3.15,                 1.3315,                0.03746,                0.15141,                 0.0735,                0.04152,                0.02881,                0.13036,                0.05159,                0.02851,                 1.9113,                 3.9287,                 3.8092,                 1.3171,             0.00033445,             0.00033445,             0.00033445
                      6,                  1.484,                 3.3845,                 2.8902,                 1.3564,                0.04207,                0.19428,                0.06991,                0.04138,                0.02963,                0.15308,                0.04103,                0.01974,                 1.8922,                 4.1651,                 3.6615,                 1.3291,             0.00039702,             0.00039702,             0.00039702
                      7,                 1.5356,                 3.3689,                 2.7356,                 1.3809,                0.04582,                0.19759,                0.07543,                 0.0417,                0.02808,                0.13919,                0.04493,                0.02201,                 1.9529,                 4.0324,                 3.5183,                 1.3835,             0.00045753,             0.00045753,             0.00045753
                      8,                 1.4895,                 3.2708,                 2.5366,                 1.3518,                0.07073,                0.21217,                0.09806,                0.06391,                0.05638,                0.16952,                0.08489,                0.04265,                 1.9783,                  3.873,                 3.1929,                  1.361,             0.00051598,             0.00051598,             0.00051598
                      9,                 1.5045,                 3.2006,                 2.3778,                 1.3309,                0.09022,                0.27836,                0.14451,                0.07941,                0.07305,                0.22283,                0.11961,                0.05494,                 2.0126,                 3.9735,                 2.9204,                 1.3349,             0.00057237,             0.00057237,             0.00057237
                     10,                 1.4876,                 3.0929,                 2.2333,                 1.3197,                0.08573,                0.26665,                0.14923,                0.08561,                0.08385,                0.23236,                0.13542,                0.06838,                 2.0242,                 3.8276,                 2.8908,                 1.3982,              0.0006267,              0.0006267,              0.0006267
