                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.751,                 3.8808,                 4.9356,                 1.3498,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3256,                 2.7296,                 3.9181,                 1.0637,                      0,                      0,                      0
                      2,                 3.1125,                 4.4447,                 5.1701,                 1.4328,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3143,                 2.7437,                   3.92,                 1.0566,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 2.5556,                  3.246,                 4.9597,                 1.3293,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2866,                 2.7453,                 3.9153,                  1.049,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 2.0464,                 3.1834,                 4.3099,                 1.2177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2176,                 2.7237,                 3.9057,                 1.0283,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 2.1802,                  2.952,                 4.4108,                 1.1939,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1572,                 2.7013,                   3.89,                  1.012,              4.832e-05,              4.832e-05,              4.832e-05
