                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2797,                 2.6928,                 1.6188,                 1.2291,                0.36084,                0.22839,                 0.2436,                0.14189,                0.29838,                0.20272,                0.20475,                0.10932,                  1.876,                 3.6351,                 2.3208,                 1.4076,             0.00061332,             0.00061332,             0.00061332
                     25,                 1.2701,                 2.6907,                 1.5615,                 1.2202,                0.29698,                 0.2085,                0.22306,                0.11861,                0.28064,                0.19601,                0.19144,                0.09096,                 1.8764,                 3.6869,                 2.2738,                 1.3796,             0.00060046,             0.00060046,             0.00060046
                     26,                 1.2615,                 2.6503,                 1.5558,                 1.2142,                0.42289,                0.23534,                0.23961,                0.12347,                0.39573,                0.16667,                 0.2127,                0.09533,                 1.8845,                 3.7345,                 2.2346,                 1.3566,              0.0005876,              0.0005876,              0.0005876
                     27,                 1.2525,                 2.6848,                 1.5657,                 1.2123,                0.29875,                0.22742,                0.20888,                0.11954,                 0.2697,                0.21097,                0.19033,                0.08691,                 1.8767,                 3.6987,                 2.1457,                  1.333,             0.00057475,             0.00057475,             0.00057475
                     28,                 1.2525,                 2.6796,                 1.6004,                 1.2349,                0.32805,                0.22589,                0.21848,                0.11916,                 0.2914,                0.20306,                 0.1766,                0.09059,                 1.8639,                 3.6644,                 2.0906,                 1.3196,             0.00056189,             0.00056189,             0.00056189
                     29,                 1.2841,                 2.6928,                 1.5532,                 1.2202,                0.32965,                0.21654,                0.24081,                0.13597,                0.33512,                0.21236,                0.21947,                0.10326,                 1.8725,                 3.6614,                 2.0081,                  1.323,             0.00054904,             0.00054904,             0.00054904
                     30,                 1.2229,                 2.6332,                 1.5213,                 1.2075,                0.35346,                0.24491,                0.24603,                0.13662,                0.38077,                 0.1817,                0.21591,                0.10869,                 1.8934,                 3.6457,                 1.9743,                  1.352,             0.00053618,             0.00053618,             0.00053618
                     31,                 1.2196,                 2.5857,                 1.4773,                 1.2083,                0.32009,                0.23405,                0.23978,                0.13983,                0.29335,                0.21507,                0.21251,                 0.1091,                 1.9221,                 3.6314,                 2.0152,                 1.3677,             0.00052332,             0.00052332,             0.00052332
                     32,                 1.1916,                 2.5002,                 1.4505,                 1.1679,                0.24673,                0.22333,                0.22584,                0.12445,                 0.4719,                0.17969,                  0.199,                0.09318,                 1.9307,                 3.5671,                  1.968,                 1.3508,             0.00051047,             0.00051047,             0.00051047
                     33,                 1.2046,                 2.5458,                 1.4002,                 1.1797,                0.46511,                0.22073,                0.24982,                0.14628,                0.40091,                0.20464,                0.22309,                0.11104,                 1.9105,                 3.5763,                  1.938,                 1.3707,             0.00049761,             0.00049761,             0.00049761
                     34,                 1.2098,                 2.5098,                 1.4053,                 1.1733,                0.34266,                 0.2678,                0.24194,                0.14824,                0.28372,                0.21492,                0.21178,                0.12308,                 1.9631,                 3.5247,                 2.0017,                 1.4555,             0.00048476,             0.00048476,             0.00048476
                     35,                   1.17,                 2.4798,                 1.4018,                 1.1771,                0.34454,                0.22161,                0.23279,                 0.1525,                0.28562,                0.19809,                0.20767,                0.12344,                 1.9116,                 3.4378,                 2.0421,                 1.4408,              0.0004719,              0.0004719,              0.0004719
                     36,                 1.1612,                 2.4279,                 1.3719,                 1.1553,                0.34732,                0.23193,                0.23693,                0.16081,                0.30518,                0.21402,                0.22023,                0.13693,                  1.877,                 3.3573,                 2.0105,                 1.4064,             0.00045904,             0.00045904,             0.00045904
                     37,                 1.1866,                 2.4662,                  1.366,                   1.17,                0.40402,                0.22398,                0.25228,                0.17089,                0.34372,                0.20028,                0.23223,                0.14793,                  1.893,                 3.3214,                 2.0151,                 1.3771,             0.00044619,             0.00044619,             0.00044619
                     38,                 1.1744,                 2.4421,                 1.2977,                 1.1466,                0.56168,                0.23565,                0.27808,                 0.1798,                0.46683,                0.22688,                0.24881,                0.14688,                 1.8986,                 3.4015,                 1.9978,                 1.3527,             0.00043333,             0.00043333,             0.00043333
                     39,                 1.1782,                 2.4495,                  1.373,                  1.177,                0.51274,                0.23904,                0.27471,                  0.178,                0.45814,                0.21459,                0.24827,                0.14406,                 1.8409,                 3.4829,                  1.937,                 1.3063,             0.00042048,             0.00042048,             0.00042048
                     40,                 1.1488,                 2.4857,                 1.3605,                 1.1602,                0.39928,                0.23855,                0.25951,                0.16615,                 0.4433,                0.21279,                0.22603,                0.13871,                 1.8142,                 3.5127,                 1.9102,                  1.322,             0.00040762,             0.00040762,             0.00040762
                     41,                 1.1654,                 2.4159,                  1.326,                 1.1583,                0.37031,                 0.2607,                0.26414,                0.16113,                0.48768,                0.20376,                0.23629,                0.14468,                 1.8041,                 3.5391,                 1.8852,                 1.3121,             0.00039477,             0.00039477,             0.00039477
                     42,                 1.1267,                 2.4847,                 1.3441,                 1.1522,                0.44434,                0.22811,                0.26596,                0.16538,                0.38832,                0.20707,                0.23288,                0.13731,                 1.8073,                 3.6639,                 1.9171,                 1.3126,             0.00038191,             0.00038191,             0.00038191
                     43,                 1.1072,                 2.3509,                 1.2928,                 1.1496,                0.52376,                0.18756,                 0.2378,                0.14352,                0.40123,                0.20165,                0.21344,                0.11169,                 1.8093,                 3.6359,                 1.9377,                 1.3106,             0.00036905,             0.00036905,             0.00036905
                     44,                 1.1281,                  2.386,                 1.2855,                 1.1411,                0.28929,                 0.2029,                0.23068,                0.13158,                0.20712,                0.21005,                0.19757,                0.10497,                 1.8485,                  3.531,                 1.9229,                 1.3462,              0.0003562,              0.0003562,              0.0003562
                     45,                 1.1307,                   2.37,                 1.2871,                 1.1482,                0.29306,                0.25812,                0.22721,                0.13746,                0.32866,                0.21694,                0.20841,                0.11179,                 1.9006,                 3.4465,                 1.8686,                 1.4157,             0.00034334,             0.00034334,             0.00034334
                     46,                  1.094,                   2.33,                 1.2757,                 1.1416,                0.34732,                0.25774,                0.23222,                0.13576,                0.36698,                0.20872,                0.20763,                0.11365,                 1.8824,                 3.4137,                 1.8647,                 1.4028,             0.00033049,             0.00033049,             0.00033049
                     47,                 1.1226,                 2.3873,                 1.2767,                 1.1405,                0.46216,                0.21676,                0.23316,                0.14319,                0.40925,                 0.2078,                0.22052,                0.12278,                 1.8929,                 3.4004,                  1.888,                 1.4127,             0.00031763,             0.00031763,             0.00031763
                     48,                 1.0893,                 2.3176,                 1.2405,                 1.1343,                0.41983,                0.22154,                0.23341,                0.13718,                0.39187,                0.20235,                0.20464,                0.11465,                 1.9403,                  3.502,                 1.9703,                  1.424,             0.00030477,             0.00030477,             0.00030477
                     49,                 1.1096,                 2.3272,                  1.271,                 1.1314,                0.41983,                0.23145,                0.22471,                0.13726,                0.34895,                0.19669,                0.19457,                0.11618,                 1.9517,                 3.5693,                 2.0008,                 1.4071,             0.00029192,             0.00029192,             0.00029192
                     50,                 1.1039,                 2.3954,                 1.2455,                 1.1293,                0.40225,                0.23476,                0.22804,                0.13384,                0.34084,                0.21151,                0.19837,                0.11543,                 1.8926,                 3.6008,                 1.9388,                 1.3834,             0.00027906,             0.00027906,             0.00027906
