                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9109,                 3.4082,                 4.3965,                 1.3907,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.323,                 2.7332,                 3.9161,                 1.0659,                      0,                      0,                      0
                      2,                  3.165,                 3.5962,                 4.3739,                 1.3955,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2992,                 2.7275,                 3.9152,                 1.0586,              1.505e-05,              1.505e-05,              1.505e-05
                      3,                  2.757,                 2.9886,                 5.6393,                  1.309,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2687,                 2.7064,                 3.9129,                 1.0513,               2.02e-05,               2.02e-05,               2.02e-05
                      4,                 2.7689,                 3.5984,                 4.1547,                 1.2278,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2622,                 2.7132,                 3.9112,                 1.0497,              1.545e-05,              1.545e-05,              1.545e-05
