                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.441,                 2.8138,                 2.5529,                 1.1848,                0.05526,                0.17702,                0.11327,                0.07232,                0.02962,                0.14887,                0.09868,                0.04745,                 2.0457,                 4.1849,                 3.7912,                 1.4429,             0.00032995,             0.00032995,             0.00032995
                     25,                  1.411,                 2.7837,                 2.4825,                 1.1871,                0.05831,                0.19091,                0.11596,                0.07394,                0.03357,                 0.1657,                0.09164,                0.04715,                 2.0064,                 4.1158,                 3.7412,                 1.4054,             0.00033958,             0.00033958,             0.00033958
                     26,                 1.5179,                 2.9663,                 2.4427,                 1.1769,                0.06113,                0.19446,                0.11176,                0.07241,                0.03578,                 0.1663,                 0.0933,                0.04386,                 1.9991,                 4.0729,                 3.6945,                  1.416,             0.00034885,             0.00034885,             0.00034885
                     27,                 1.4697,                 2.8993,                 2.3021,                 1.1752,                0.06473,                0.20086,                0.11743,                0.07557,                0.03856,                0.16799,                0.09318,                0.04642,                 1.9967,                 3.9845,                 3.6303,                 1.4287,             0.00035776,             0.00035776,             0.00035776
                     28,                 1.4383,                 2.8229,                 2.3782,                 1.1784,                0.06473,                0.20086,                0.11743,                0.07557,                0.03856,                0.16799,                0.09318,                0.04642,                 1.9967,                 3.9845,                 3.6303,                 1.4287,             0.00036631,             0.00036631,             0.00036631
                     29,                 1.5053,                 2.8717,                 2.3788,                 1.1735,                0.07339,                0.21141,                0.13671,                0.08028,                0.04781,                0.18434,                0.11274,                0.05655,                 2.0004,                 3.9253,                 3.5734,                 1.4207,              0.0003745,              0.0003745,              0.0003745
                     30,                  1.415,                 2.7028,                 2.1705,                 1.1417,                0.07605,                0.22289,                0.13526,                0.08567,                0.05726,                  0.204,                0.12603,                0.06176,                 2.0188,                 3.8176,                 3.5033,                 1.4154,             0.00038234,             0.00038234,             0.00038234
                     31,                 1.4566,                 2.7565,                  2.181,                 1.1755,                0.07605,                0.22289,                0.13526,                0.08567,                0.05726,                  0.204,                0.12603,                0.06176,                 2.0188,                 3.8176,                 3.5033,                 1.4154,             0.00038981,             0.00038981,             0.00038981
                     32,                 1.4466,                 2.8049,                 2.1494,                  1.185,                0.07598,                0.22752,                0.13638,                0.08699,                0.06192,                0.20754,                0.12562,                0.06879,                 1.9885,                 3.7591,                 3.4563,                 1.3997,             0.00039692,             0.00039692,             0.00039692
                     33,                 1.3863,                 2.7537,                 2.0832,                 1.1333,                0.07712,                0.22644,                0.13627,                0.08828,                0.05863,                0.20694,                0.12072,                0.06323,                 1.9926,                 3.7719,                   3.45,                 1.4147,             0.00040367,             0.00040367,             0.00040367
                     34,                 1.3925,                 2.7101,                 1.9957,                  1.151,                0.07712,                0.22644,                0.13627,                0.08828,                0.05863,                0.20694,                0.12072,                0.06323,                 1.9926,                 3.7719,                   3.45,                 1.4147,             0.00041006,             0.00041006,             0.00041006
                     35,                 1.4644,                 2.8197,                 2.1379,                 1.1752,                0.63345,                0.06692,                0.13069,                 0.0876,                0.54557,                0.06557,                0.13842,                0.06822,                 1.9669,                 3.8068,                 3.4454,                 1.4295,             0.00041609,             0.00041609,             0.00041609
                     36,                 1.3856,                 2.6832,                 1.9828,                 1.1414,                0.44601,                 0.0657,                0.13293,                 0.0869,                0.38709,                 0.0696,                0.13543,                0.06877,                 1.9352,                 3.8248,                 3.4075,                   1.42,             0.00042176,             0.00042176,             0.00042176
                     37,                  1.423,                 2.6556,                  1.978,                 1.1307,                0.44601,                 0.0657,                0.13293,                 0.0869,                0.38709,                 0.0696,                0.13543,                0.06877,                 1.9352,                 3.8248,                 3.4075,                   1.42,             0.00042707,             0.00042707,             0.00042707
                     38,                 1.4107,                 2.6607,                 1.8737,                 1.1252,                0.44675,                0.11224,                0.13476,                0.08713,                0.35712,                0.10143,                0.13611,                0.06659,                 1.9156,                 3.6854,                 3.3331,                  1.406,             0.00043202,             0.00043202,             0.00043202
                     39,                 1.4487,                 2.7332,                 1.9767,                 1.1502,                0.42031,                0.12045,                0.13692,                0.07063,                0.30386,                0.13246,                0.12572,                0.05556,                 1.9362,                 3.6756,                 3.3314,                 1.4204,             0.00043662,             0.00043662,             0.00043662
                     40,                 1.3874,                 2.6481,                 1.8444,                 1.1329,                0.42031,                0.12045,                0.13692,                0.07063,                0.30386,                0.13246,                0.12572,                0.05556,                 1.9362,                 3.6756,                 3.3314,                 1.4204,             0.00044085,             0.00044085,             0.00044085
                     41,                 1.3701,                 2.6278,                 1.7874,                 1.1306,                0.43843,                0.09639,                 0.1117,                0.05673,                0.39049,                0.12346,                0.11254,                0.04469,                 1.9572,                 3.6426,                 3.3346,                 1.4401,             0.00044472,             0.00044472,             0.00044472
                     42,                 1.3397,                  2.499,                 1.7358,                 1.1186,                0.45031,                0.10261,                0.13721,                0.08615,                0.39264,                0.10652,                0.12978,                0.06152,                  1.971,                 3.6871,                 3.3508,                 1.4632,             0.00044823,             0.00044823,             0.00044823
                     43,                 1.3961,                 2.5749,                 1.7068,                 1.1206,                0.45031,                0.10261,                0.13721,                0.08615,                0.39264,                0.10652,                0.12978,                0.06152,                  1.971,                 3.6871,                 3.3508,                 1.4632,             0.00045138,             0.00045138,             0.00045138
                     44,                 1.2914,                 2.5148,                 1.6826,                  1.107,                0.49651,                0.09194,                0.13821,                0.09147,                0.39126,                0.08189,                0.12814,                0.06277,                 1.9206,                 3.6364,                  3.273,                   1.42,             0.00045417,             0.00045417,             0.00045417
                     45,                 1.2771,                 2.5457,                 1.6185,                 1.1072,                0.49651,                0.09194,                0.13821,                0.09147,                0.39126,                0.08189,                0.12814,                0.06277,                 1.9206,                 3.6364,                  3.273,                   1.42,             0.00045661,             0.00045661,             0.00045661
                     46,                 1.3553,                 2.6188,                 1.7942,                 1.1444,                0.44408,                0.10239,                0.14621,                0.09191,                0.33545,                0.09259,                0.13359,                0.06904,                 1.8961,                 3.6906,                 3.2151,                 1.4165,             0.00045868,             0.00045868,             0.00045868
                     47,                 1.3024,                  2.437,                 1.6767,                 1.1087,                0.44408,                0.10239,                0.14621,                0.09191,                0.33545,                0.09259,                0.13359,                0.06904,                 1.8961,                 3.6906,                 3.2151,                 1.4165,             0.00046039,             0.00046039,             0.00046039
                     48,                 1.3698,                 2.5657,                 1.7507,                 1.1305,                 0.4175,                0.12759,                0.16012,                0.09984,                0.35515,                0.11141,                0.14304,                0.07759,                 1.9139,                 3.7118,                 3.1411,                 1.4259,             0.00046174,             0.00046174,             0.00046174
                     49,                  1.346,                 2.5139,                 1.6277,                 1.1116,                 0.4175,                0.12759,                0.16012,                0.09984,                0.35515,                0.11141,                0.14304,                0.07759,                 1.9139,                 3.7118,                 3.1411,                 1.4259,             0.00046273,             0.00046273,             0.00046273
                     50,                 1.3611,                 2.6627,                 1.6528,                 1.1085,                0.38344,                0.13555,                0.16694,                0.10466,                0.30694,                0.12811,                0.15259,                0.08617,                 1.9612,                 3.6998,                 3.0347,                 1.4648,             0.00046336,             0.00046336,             0.00046336
                     51,                 1.2609,                 2.3798,                 1.5253,                 1.0915,                0.38344,                0.13555,                0.16694,                0.10466,                0.30694,                0.12811,                0.15259,                0.08617,                 1.9612,                 3.6998,                 3.0347,                 1.4648,             0.00045904,             0.00045904,             0.00045904
                     52,                  1.342,                 2.5857,                 1.6729,                 1.1252,                0.36116,                0.14521,                0.16976,                0.10097,                 0.2938,                0.13785,                0.15914,                0.07953,                 2.0054,                  3.743,                 2.9737,                 1.4898,             0.00045005,             0.00045005,             0.00045005
                     53,                  1.289,                 2.3742,                 1.5656,                 1.1018,                0.36116,                0.14521,                0.16976,                0.10097,                 0.2938,                0.13785,                0.15914,                0.07953,                 2.0054,                  3.743,                 2.9737,                 1.4898,             0.00044105,             0.00044105,             0.00044105
                     54,                 1.2237,                 2.3084,                 1.5388,                 1.1074,                0.36252,                 0.1419,                0.16845,                0.09774,                0.25348,                0.13061,                0.15997,                0.07726,                 1.9789,                  3.714,                 2.9728,                 1.4828,             0.00043205,             0.00043205,             0.00043205
                     55,                  1.305,                 2.4524,                 1.5279,                 1.0969,                0.36252,                 0.1419,                0.16845,                0.09774,                0.25348,                0.13061,                0.15997,                0.07726,                 1.9789,                  3.714,                 2.9728,                 1.4828,             0.00042305,             0.00042305,             0.00042305
                     56,                 1.2675,                 2.4251,                 1.5058,                 1.1118,                0.37068,                0.15992,                0.19349,                0.10714,                0.27082,                0.14834,                0.16849,                0.08923,                 1.9673,                 3.7167,                 2.8579,                 1.4517,             0.00041405,             0.00041405,             0.00041405
                     57,                 1.3122,                  2.517,                 1.5344,                 1.1057,                0.37068,                0.15992,                0.19349,                0.10714,                0.27082,                0.14834,                0.16849,                0.08923,                 1.9673,                 3.7167,                 2.8579,                 1.4517,             0.00040505,             0.00040505,             0.00040505
                     58,                 1.2707,                  2.476,                 1.4948,                 1.0866,                0.35626,                0.18751,                0.19714,                0.11515,                 0.2914,                0.16695,                 0.1746,                0.09519,                 2.0407,                 3.7254,                 2.7358,                 1.4757,             0.00039605,             0.00039605,             0.00039605
                     59,                 1.3023,                 2.4578,                 1.4807,                  1.115,                0.35626,                0.18751,                0.19714,                0.11515,                 0.2914,                0.16695,                 0.1746,                0.09519,                 2.0407,                 3.7254,                 2.7358,                 1.4757,             0.00038705,             0.00038705,             0.00038705
                     60,                 1.3351,                 2.5045,                 1.5636,                 1.1086,                0.30942,                0.18894,                0.19352,                0.11729,                  0.284,                0.17723,                0.17846,                0.09431,                 2.0613,                 3.7781,                 2.6539,                 1.4715,             0.00037805,             0.00037805,             0.00037805
                     61,                 1.2901,                 2.4671,                 1.4896,                 1.0991,                0.30942,                0.18894,                0.19352,                0.11729,                  0.284,                0.17723,                0.17846,                0.09431,                 2.0613,                 3.7781,                 2.6539,                 1.4715,             0.00036905,             0.00036905,             0.00036905
                     62,                  1.298,                 2.4748,                 1.4642,                 1.0869,                 0.3181,                 0.1946,                0.20192,                0.12266,                0.27075,                0.17914,                0.18602,                0.09949,                  2.048,                 3.7399,                 2.5932,                 1.4519,             0.00036005,             0.00036005,             0.00036005
                     63,                 1.2366,                 2.3868,                 1.4179,                 1.0915,                 0.3181,                 0.1946,                0.20192,                0.12266,                0.27075,                0.17914,                0.18602,                0.09949,                  2.048,                 3.7399,                 2.5932,                 1.4519,             0.00035106,             0.00035106,             0.00035106
                     64,                 1.2897,                 2.4462,                 1.3911,                 1.0777,                0.32144,                0.20749,                0.20484,                0.13035,                0.26717,                0.19026,                0.18215,                0.10306,                      2,                 3.6206,                 2.5238,                 1.4213,             0.00034206,             0.00034206,             0.00034206
                     65,                 1.2241,                 2.3998,                 1.3602,                 1.0715,                0.32144,                0.20749,                0.20484,                0.13035,                0.26717,                0.19026,                0.18215,                0.10306,                      2,                 3.6206,                 2.5238,                 1.4213,             0.00033306,             0.00033306,             0.00033306
                     66,                 1.2065,                 2.3363,                 1.4488,                 1.1023,                0.31401,                0.21459,                0.21309,                0.13013,                0.28113,                 0.1982,                0.18965,                0.10521,                  1.986,                 3.5373,                 2.4778,                 1.4097,             0.00032406,             0.00032406,             0.00032406
