                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5661,                  2.618,                 1.6027,                 1.1012,                 0.0439,                0.20116,                0.06095,                0.02762,                0.03875,                0.19136,                0.05056,                0.01807,                 2.8731,                 4.1834,                 3.1353,                  1.515,              0.0005187,              0.0005187,              0.0005187
                     25,                 1.5156,                 2.5831,                 1.4041,                 1.0103,                0.03965,                0.17647,                0.06151,                0.02803,                0.03728,                0.17901,                0.05516,                0.02011,                 2.8675,                 4.1134,                 3.1184,                 1.4415,             0.00053384,             0.00053384,             0.00053384
                     26,                  1.481,                 2.5715,                 1.4463,                 1.0504,                0.03866,                 0.1703,                0.05844,                0.02749,                0.04124,                0.19753,                0.06103,                0.02234,                  2.901,                 4.0448,                 3.0706,                 1.4721,             0.00054841,             0.00054841,             0.00054841
                     27,                 1.5333,                 2.7874,                 1.3937,                 1.0408,                0.04863,                0.20479,                0.06926,                0.03019,                0.03914,                0.19136,                0.06174,                0.02114,                 2.9115,                 3.9411,                 2.9997,                 1.5218,             0.00056242,             0.00056242,             0.00056242
                     28,                 1.6766,                 3.1321,                 1.4664,                 1.1105,                0.04863,                0.20479,                0.06926,                0.03019,                0.03914,                0.19136,                0.06174,                0.02114,                 2.9115,                 3.9411,                 2.9997,                 1.5218,             0.00057587,             0.00057587,             0.00057587
                     29,                 1.5013,                 2.7707,                 1.4072,                 1.0623,                0.04098,                0.18882,                0.06524,                0.02976,                0.03261,                0.16667,                0.04457,                0.01589,                 2.8698,                  4.007,                  2.967,                 1.4989,             0.00058874,             0.00058874,             0.00058874
                     30,                 1.5936,                 2.6965,                 1.6428,                 1.0638,                0.04044,                0.18882,                0.06996,                0.03243,                 0.0323,                0.16667,                0.04807,                0.01629,                 2.8501,                 4.0219,                 2.9337,                 1.4858,             0.00060105,             0.00060105,             0.00060105
                     31,                 1.4865,                 2.4134,                 1.4322,                 1.0671,                0.04044,                0.18882,                0.06996,                0.03243,                 0.0323,                0.16667,                0.04807,                0.01629,                 2.8501,                 4.0219,                 2.9337,                 1.4858,              0.0006128,              0.0006128,              0.0006128
                     32,                 1.5113,                 2.4848,                 1.3157,                 1.0334,                0.04397,                0.20733,                0.08158,                 0.0348,                0.03991,                0.20988,                0.07858,                0.02376,                 2.7693,                 3.9867,                  2.899,                 1.4487,             0.00062398,             0.00062398,             0.00062398
                     33,                 1.3728,                 2.4522,                 1.2745,                0.97254,                0.04638,                0.21968,                0.08293,                0.03401,                 0.0407,                0.21605,                0.08791,                 0.0315,                 2.7683,                 4.0473,                 2.8864,                  1.411,             0.00063459,             0.00063459,             0.00063459
