                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.751,                 3.8808,                 4.9356,                 1.3498,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3256,                 2.7296,                 3.9181,                 1.0637,                      0,                      0,                      0
                      2,                 3.1125,                 4.4447,                 5.1701,                 1.4328,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3143,                 2.7437,                   3.92,                 1.0566,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 2.5556,                  3.246,                 4.9597,                 1.3293,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2866,                 2.7453,                 3.9153,                  1.049,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 2.0464,                 3.1834,                 4.3099,                 1.2177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2176,                 2.7237,                 3.9057,                 1.0283,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 2.1802,                  2.952,                 4.4108,                 1.1939,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1572,                 2.7013,                   3.89,                  1.012,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                 2.0995,                 2.8205,                 4.5162,                 1.1323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1156,                 2.6797,                 3.8763,                  1.004,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 1.9693,                  3.309,                 4.2597,                  1.096,                0.00222,                0.05128,                0.00121,                0.00012,                0.00222,                0.05128,                0.00121,                 0.0005,                   2.08,                 2.6516,                 3.8605,                 1.0004,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                 2.2877,                 3.0644,                 4.4306,                 1.1215,                0.00222,                0.05128,                0.00123,                0.00038,                0.00111,                0.02564,                0.00064,                0.00051,                 2.0486,                 2.6268,                 3.8455,                0.99626,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                 2.1564,                 2.8571,                   4.37,                 1.0533,                0.00222,                0.05128,                0.00124,                0.00051,                0.00111,                0.02564,                0.00064,                0.00032,                 2.0219,                 2.6554,                 3.8264,                0.99558,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                 2.1442,                 2.6914,                 4.2072,                 1.1649,                0.00333,                0.07692,                0.00182,                0.00056,                0.00111,                0.02564,                0.00063,                0.00032,                 2.0033,                 2.6286,                 3.8234,                0.99297,              1.962e-05,              1.962e-05,              1.962e-05
