                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6508,                 4.4923,                  3.986,                 1.5454,                 0.0164,                0.06231,                0.02734,                0.01387,                0.00253,                0.04167,                0.01457,                0.00405,                 1.8315,                 4.2422,                 4.2744,                 1.4546,              6.363e-05,              6.363e-05,              6.363e-05
                      2,                 1.5026,                 3.8804,                 3.8176,                 1.4233,                0.01926,                0.06483,                0.05985,                 0.0408,                0.00436,                 0.0463,                0.04299,                0.00509,                  1.885,                 4.0511,                 4.2084,                 1.3363,             0.00013442,             0.00013442,             0.00013442
                      3,                  1.478,                 3.6972,                 3.6156,                 1.3566,                0.01866,                0.07277,                0.04475,                0.02349,                0.00419,                 0.0463,                0.01956,                0.01213,                 1.8149,                 3.9933,                 4.1846,                 1.3211,             0.00020316,             0.00020316,             0.00020316
                      4,                 1.4738,                 3.5753,                 3.3944,                 1.3462,                0.02081,                0.07488,                0.04732,                0.02388,                 0.0038,                 0.0463,                 0.0262,                0.01227,                 1.8089,                 3.9587,                 4.0495,                 1.3111,             0.00026983,             0.00026983,             0.00026983
                      5,                 1.4742,                 3.4754,                 3.1492,                 1.3285,                0.03921,                0.16867,                0.08418,                0.05166,                0.02223,                0.12326,                0.05588,                0.03159,                 1.9524,                 3.9102,                 3.7717,                 1.3357,             0.00033445,             0.00033445,             0.00033445
                      6,                 1.4892,                 3.3871,                 2.8858,                 1.3502,                0.04416,                0.23517,                0.09046,                0.05023,                0.03123,                0.19481,                0.06127,                0.02891,                 1.9327,                  4.064,                 3.5716,                 1.3158,             0.00039702,             0.00039702,             0.00039702
                      7,                 1.5488,                 3.3672,                 2.7269,                  1.382,                0.04718,                0.22921,                0.09542,                0.05831,                 0.0303,                0.17082,                0.05916,                0.02971,                 2.0242,                 4.0383,                  3.351,                 1.3959,             0.00045753,             0.00045753,             0.00045753
                      8,                  1.485,                 3.2757,                 2.5424,                 1.3487,                0.08548,                0.25113,                 0.1324,                0.08748,                0.08887,                0.17184,                0.10952,                0.06488,                 2.0885,                 3.8295,                  3.066,                  1.408,             0.00051598,             0.00051598,             0.00051598
                      9,                 1.5054,                 3.2014,                 2.3785,                 1.3285,                0.14637,                0.20163,                0.15554,                0.09294,                0.15895,                0.13777,                0.13283,                0.06959,                 2.0782,                 3.9734,                 2.9279,                 1.3862,             0.00057237,             0.00057237,             0.00057237
                     10,                 1.4899,                 3.0962,                 2.2514,                 1.3192,                0.44995,                0.10986,                0.17274,                0.10639,                0.41739,                 0.1038,                0.15366,                0.08997,                  1.996,                 3.8185,                  2.881,                 1.3668,              0.0006267,              0.0006267,              0.0006267
